Text,Language
"Я завален заданиями, умное слово номер два - это уловка-22, теперь я уверен, что ты » Вы слышали это слово перед уловкой-22, означающей невозможную ситуацию, в которой вы не можете сделать одно, пока не сделали другое, и не можете сделать другое, потому что вы не сделали первое.",Russian
"Я запутал вас, поэтому позвольте мне привести несколько примеров.",Russian
"Уловка-22 - это когда вы не получаете работу, не имея опыта работы.",Russian
"но вы не можете получить опыт, пока не получите работу.",Russian
"Уловка-22 была придумана Джозефом Хеллером в его знаменитой одноименной книге «Уловка-22», когда он описывал некоторые противоречивые правила, которые применялись к солдатам во время Второй мировой войны.",Russian
"Другой пример ловушки-22: вам нужен банковский кредит, потому что вам его не хватает.",Russian
"денег, но вы не получите этот банковский кредит, если не докажете банку, что у вас достаточно денег, поэтому в следующий раз, когда вы попадете в сложную ситуацию, помните.",Russian
использовать слово уловка-22.,Russian
"и получите эти восхищенные взгляды от своих друзей другими словами, которые вы можете использовать вместо уловки-22: парадокс или умное слово дилемма.",Russian
"номер три - учтивый учтивый обходительный - значит быть утонченным, быть вежливым, уравновешенным, холодным и. Хорошо воспитанный слово учтивый имеет несколько разных источников, но одно очень интересное происхождение слова - это пример приятного или сладкого вкуса.",Russian
"он такой уравновешенный и учтивый, особенно перед дамами, или Барак Обама такой учтивый и отполированный, теперь помните, когда вы будете на вечеринке в следующий раз, и увидите этого человека, который таков.",Russian
"воспитанный, культурный и утонченный.",Russian
"не забудьте сказать эй, кто этот учтивый парень прямо в углу, использование этого слова мгновенно пополнит ваш словарный запас.",Russian
"очень учтиво, так умно, слово номер четыре ужасно ужасно слово зверский означает что-то действительно плохое, ужасное, ужасное, жестокое, ужасное, оскорбительное, ужасное, имеет латинский корень, который называется., что означает страх жестокий или ужасный.",Russian
или заключенные лечатся.,Russian
"зверски иногда в тюрьмах слово «зверство» также используется в повседневной жизни, чтобы говорить о каких-то обычных проступках, и вы хотите преувеличить.",Russian
"например, его манеры за столом были ужасными, или ее чувство одежды настолько ужасно, или его грамматика ужасна.",Russian
"так что в следующий раз, когда вы услышите об ужасном действии в новостях, не забудьте об этом.",Russian
"Заметьте и скажите, что это чудовищный поступок.",Russian
"Умное слово номер 5 - громадно, громадно, громадно, значит удивительно удивительно.",Russian
"теперь мы часто используем здесь слово ""круто"" "" Еще одно слово, которое вы можете использовать вместо слова «потрясающе потрясающе».",Russian
"Например, сегодня я получил потрясающий балл на моем тесте, что означает, что я получил очень высокий балл или.",Russian
"У меня почти высшая оценка - слово «громадный» имеет классические латинские корни от слова, которое означает.",Russian
"«быть ошеломленным настолько потрясающе» используется для описания чего-то потрясающе хорошего, например, она потрясающе выглядит в этом платье, или какой потрясающий вид с этого балкона, или я читаю эту потрясающую книгу, от которой не могу оторваться.",Russian
сказать.,Russian
"ваши друзья, это потрясающий канал для студентов, и некоторые другие слова, которые вы можете использовать вместо огромных, невероятно фантастические или исключительно хорошие.",Russian
"Хорошо, поэтому, прежде чем мы продолжим сбалансированные пять слов в этом видео, не забудьте оставить комментарий под этим видео.",Russian
"сказать мне, какое из этих десяти слов было вашим любимым умным словом номер шесть в исправлении в исправлении означает оказаться в неприятной ситуации, например, мальчик, я в затруднительном положении, потому что у меня есть планы на это с двумя разными друзьями вечер.",Russian
"Я потерял телефон, и я в затруднительном положении, или наш автобус сломался этим утром, и я в затруднительном положении, мой друг всегда обращается ко мне за помощью, когда он в затруднительном положении, а когда дела идут хорошо, он забывает о нем.",Russian
"я, так что в следующий раз, когда вы получите домашнее задание по математике в школе, например, и если вы оставили свой учебник по математике в школе, вы можете сказать своим друзьям, что вы находитесь в настоящем исправлении, теперь вы можете подумать, что слово исправить есть чем заняться с ремонтом чего-то.",Russian
"но нет в исправлении означает попасть в неприятную ситуацию, другие слова, которые вы можете использовать вместо исправления, - это я в супе или я Я в беспорядке, или я беспокоюсь, или просто я нахожусь в затруднительном положении.",Russian
Умное слово номер 7 - это беспорядок.,Russian
flummox означает запутать кого-то.,Russian
"настолько, что они забывают, что делать, теперь запутаться - это часто употребляемое слово, поэтому вместо этого почему бы вам не использовать фламмокс, например, мальчик выглядел совершенно сбитым с толку, когда учитель задал ему вопрос в классе или собака выглядела смущенной при собственном отражении в зеркале или турист был сбит с толку разными обычаями.",Russian
"он столкнулся во время своих путешествий или во время интервью, когда ее спросили, почему мы должны нанять вас, она выглядела совершенно растерянной, поэтому в следующий раз, если вы запутаетесь в каких-либо вопросах, например, на экзамене, то вы.",Russian
"всегда могу сказать это, потому что я не знал Я очень хорошо подготовился к экзамену.",Russian
Я был сбит с толку некоторыми вопросами.,Russian
"Другие слова, которые вы можете использовать вместо сбитых с толку, озадачены, озадачены или озадачены.",Russian
Умное слово номер восемь - это рандеву рандеву рандеву.,Russian
"- это очень французский способ сказать встреча или свидание, например, у меня свидание с друзьями за обедом в субботу или я планирую встретиться с друзьями в торговом центре для просмотра фильмов.",Russian
Рандеву может использоваться как существительное или как глагол Например.,Russian
"Сегодня вечером у меня встреча с друзьями, или завтра я собираюсь встретиться с друзьями.",Russian
"во Франции раньше рандеву использовалось армией для обозначения места встречи войск, теперь в слове «рандеву» есть что-то немного захватывающее и таинственное, так что пока вы можете использовать рандеву для любой встречи.",Russian
"в общем но победил Это очень уместно для официальной встречи, поэтому, если у вас есть свидание, вы, возможно, определенно можете назвать это умное слово «рандеву номер 9» тупым тупым тупым словом - оскорблением, которое вы использовали бы, когда пытаетесь назвать кого-то тупым или неразумным.",Russian
"или тупоумный теперь вы слышали слово «тупой» в геометрии тупой угол и острый угол, поэтому тупой угол - это угол больше 90 градусов, но меньше 180 градусов.",Russian
"и острый угол - это острый угол менее 90 градусов, такой острый, как это слово используется для обозначения острого и, следовательно, также мысленно острого и тупого, обозначает тупой и, следовательно, также немного медленный в уме, поэтому примеры предложений с тупыми словами - это мужчина был настолько тупым, что выдал свой пароль поддельному абоненту или тупому ребенку.",Russian
не смог.,Russian
"Чтобы ответить на один-единственный вопрос теста, или тупому мужчине было трудно понять даже базовые инструкции.",Russian
"Теперь предположим, что в вашей повседневной жизни ваш парень или ваша девушка сердится на вас, а вы не знаете, почему, поэтому можете.",Russian
"скажите им, может быть, я тупой, но я не знаю, почему вы так расстроены, умное слово номер 10 - вялый, вялый, вялый означает двигаться медленно, чтобы двигаться в более медленном темпе.",Russian
"чем обычно, чтобы выглядеть немного уставшим и отсутствующим.",Russian
В примере с энергией тяжелый обед делает меня очень вялым днем.,Russian
"Оно происходит от слова, которое означает медлительный человек, а слизняк - это животное, которое движется очень медленно, как примеры улиток.",Russian
в этом году экономика была очень вялой или матч продолжился после вялого начала.,Russian
"или бизнес в этом квартале был вялым, вы можете использовать это в своей повседневной жизни, если однажды вы чувствуете себя очень усталым, вы можете сказать об этом своей маме или сказать.",Russian
"твои друзья, я чувствую себя очень вялым.",Russian
"сегодня я мог бы употребить энергетический напиток, другие слова, которые вы можете использовать вместо вялости, могут быть вялыми или волочить ноги, так что это были 10 умных слов и раньше.",Russian
"Я даю вам этот секретный совет, чтобы звучать очень бегло.",Russian
"Я хочу напомнить вам, что в случае, если вы ищете умные слова для телефонного звонка, я помещаю ссылку на видео.",Russian
"вниз в поле описания для этого, и теперь секретный совет, секретный совет, чтобы звучать свободно, - это использовать не более одного умного слова или предложения, которое я иногда знаю.",Russian
"мы очень взволнованы, потому что.",Russian
"мы' мы выучили много этих умных слов, и мы склонны вставлять два, три, четыре из них в одно предложение, которое звучит неестественно.",Russian
"так что по очереди убедитесь, что вы правильно произносите слово.",Russian
"Зайдите в Google и введите слово, и в поиске справа вверху вы увидите маленький значок динамика, щелкнувший по этому динамику.",Russian
и прослушайте произношение один или два раза.,Russian
"и вы готовы к работе, и если вам понравилось это видео, не забудьте оставить нам большой палец вверх с комментарием.",Russian
"для меня под ним, говоря мне, какое из этих 10 слов ваше любимое, а также.",Russian
"Если вы еще не нажали кнопку подписки и значок колокольчика рядом с ней, и желаем вам приятного просмотра.",Russian
"Привет, ребята, добро пожаловать на мой канал в этом видео.",Russian
"Я дам вам 50 лучших английских фраз, которые можно использовать в повседневной жизни.",Russian
"так что, если вы только собираетесь отправиться в путешествие.",Russian
в англоязычную страну вы можете полностью использовать это.,Russian
"фразы, если вы изучали английский язык какое-то время и хотите продолжить обучение.",Russian
"это лучшее видео для начала, так что давайте рассмотрим 50 фраз на английском за 10 минут.",Russian
фраза номер один - это еще один способ спросить.,Russian
как дела?,Russian
Как дела?,Russian
как это работает?.,Russian
"Итак, вы встречаетесь с кем-то и у вас время, как дела ?.",Russian
"фраза номер два, когда вы не видели кого-то какое-то время, вы говорите ему, что давно не виделись, это означает, что вы не видели этого человека, может быть, недели или месяцы долгое время не видели номер фразы.",Russian
"три, если вы хотите спросить, чем вы занимались.",Russian
"вы спрашиваете, чем вы занимались и что происходило в вашей жизни?",Russian
"чем ты занимался, чтобы поднять их раньше, если все идет?",Russian
"ну вы можете просто ответить, не могу жаловаться, все действительно круто.",Russian
"не могу пожаловаться на следующую фразу, кто-то вам что-то говорит, а вы на самом деле не упомянули об этом в разговоре, как будто они каким-то образом догадаются, что у вас новая работа, и вы спрашиваете его.",Russian
откуда вы знаете?.,Russian
"Откуда ты такие новости, как поживаешь.",Russian
"знай, если кто-нибудь расскажет классную шутку, ты поймешь, что это хорошая шутка.",Russian
"это отличная шутка, так что фраза хорошая.",Russian
"Если вы хотите кого-то поблагодарить, вы можете сказать, что это очень мило с вашей стороны, большое вам спасибо за это.",Russian
"Это очень мило с вашей стороны, это очень мило с вашей стороны, если кто-то другой.",Russian
"пытался вам помочь, но не смог достичь результата, о котором можно сказать.",Russian
"в любом случае спасибо, это не имеет значения, но все равно спасибо.",Russian
благодарю вас за ваше усилие.,Russian
"в любом случае спасибо, и еще одна фраза, которую я иногда использую в своем электронном письме, когда я не спрашивал человека.",Russian
"я спрашиваю, а потом говорю в конце.",Russian
"заранее спасибо, а это значит, что я очень надеюсь, что вы собираетесь.",Russian
поблагодарить вас заранее.,Russian
"заранее спасибо, если кто-то допустил ошибку, и он очень расстроен из-за этого.",Russian
вы можете просто сказать «не беспокойтесь».,Russian
"не волнуйтесь, не беспокойтесь, а это значит, не беспокойтесь об этом.",Russian
все хорошо.,Russian
"не беспокойтесь, представьте, что вы пришли домой, а все ваши друзья сидят на вашем диване.",Russian
"и тебе нравится, что здесь происходит, например, что ты здесь делаешь?",Russian
"что происходит, если вы что-то не поймали или он не понял человека, которого вы всегда можете спросить, правильно ли я вас понял ?.",Russian
"а затем продолжайте и объясните, где вы попали, я правильно понял ?.",Russian
"Если вы попросите кого-то не расстраиваться, чтобы не плакать, вы можете сказать, не принимайте это близко к сердцу.",Russian
"не принимайте это близко к сердцу, как серьезно, не расстраивайтесь, не принимайте это близко к сердцу.",Russian
"еще один способ спросить, не уловил ли вы часть фразы, которую можно сказать: «Я не уловил последнее слово».",Russian
Мне жаль.,Russian
"Вы можете повторить это, потому что я не расслышал последнее слово, если он хочет, чтобы кто-то снова повторил всю фразу.",Russian
вы можете извиниться.,Russian
"я не слушал, потому что, возможно, ты был занят.",Russian
"может быть, вы разговаривали по телефону, и кто-то говорил с вами, и вам нравится.",Russian
Боже ты мой.,Russian
"извините, я не слушал.",Russian
повторите?.,Russian
Мне жаль.,Russian
"я не слушал другую фразу, которую использую все время.",Russian
"это не имеет значения, как не волнуйтесь, если вы уроните свой кофе на меня.",Russian
как будто это не имеет значения.,Russian
все будет хорошо.,Russian
я' м все равно иду в прачечную.,Russian
"неважно, хотите ли вы кому-нибудь пожелать удачи.",Russian
"и я всегда так делаю, вы можете сказать, скрестив пальцы, и вы скрестите пальцы вот так.",Russian
скрещенные пальцы.,Russian
"еще одна фраза, которую используют американцы, очень плохо объясняет это и. ситуация такова, что вы чего-то не получили, а затем вы получаете дополнительный эффект, и вы его получаете.",Russian
"и ты как ох, это объясняет это объясняет это.",Russian
"еще один способ сказать человеку, чтобы он не расстраивался, - это сказать, что все происходит так, будто все в порядке.",Russian
"вещи случаются, не расстраивайтесь, если у вас нет имени человека, с которым вы хотите поговорить.",Russian
"вы можете извиниться за беспокойство, вы знаете, что видите.",Russian
"кто-то занят, вы всегда можете извиниться за беспокойство, а затем спросить.",Russian
"извините, что беспокою вас.",Russian
"если вы что-то в ком-то Я спрашиваю вас о чем-то, что вы можете сказать.",Russian
"О, вы в процессе чего-то, и кто-то просит вас сделать то, о чем вы говорите, извините.",Russian
"Я буду с вами через минуту, я буду с вами, а затем вы продолжите что-то делать и скажете, где мы были.",Russian
"Например, когда мы остановились, где были, и вы должны повторить это, потому что за звук некоторые люди ошибаются.",Russian
"так что это отличный способ попрактиковаться в том, где мы снова были, если вы в процессе разговора?",Russian
"и вы не поняли того, что говорил другой человек, вы можете сказать, что вы говорили, и с вопросительным знаком.",Russian
"что означает, что побуждает человека повторить еще раз?",Russian
ты говорил .,Russian
"если кто-то получил работу своей мечты, что бы вы ни сказали, повезло вам или кто-то попал в университет их мечты, например, вам повезло, это способ поздравить человека, который вам повезло, или просто подчеркнуть, что ему повезло, повезло вам другой способ сказать что ты действительно зол - значит сказать, что я испугался, как будто я был так зол.",Russian
"о, это почти безумие.",Russian
"Меня напугала другая фраза, которую носители языка используют для вас, и она может быть как положительной, так и отрицательной, когда вы говорите, что меня повысили, и если они говорят, что вам хорошо, например, поздравления, а иногда, если вы говорите, будто я ухожу отсюда.",Russian
"они вроде бы хороши для вас, было бы лучше без вас, и это отрицательное значение, поэтому внимательно слушайте интонацию.",Russian
"если что-то вас удивит, вы также можете сказать, что вы шутите надо мной, как о боже.",Russian
"Я не могу поверить, что ты, должно быть, шутишь, когда говоришь кому-то улыбнуться, и чтобы быть счастливым, ты всегда можешь сказать, подбодритесь, подбодритесь.",Russian
"если вы хотите, чтобы кто-то просто плакал и жаловался на что-то, чего не происходит, вы можете сказать, приходите, я, вы можете сделать это?",Russian
подойди.,Russian
вы можете сделать это вы можете передать toefl вы можете передать gmat вы получите его давай.,Russian
"вы можете сделать это, если у кого-то все хорошо, вы можете сказать им, продолжайте в том же духе, продолжайте в том же духе, например, будьте такими же хорошими, как вы, и продолжайте в том же духе, продолжайте быть еще одна фраза разговорная, и это то, что американцы сказать.",Russian
"это горит, что означает, что это удивительно, как говорили многие американцы в Калифорнии.",Russian
"о, это горит, и вы, наверное, слышали это в песнях, которые ' горит, если кто-то добивается успеха после неудач, так что вы можете сказать, что вы идете, я сказал вам, что вы добьетесь этого не могу сказать немного нах.",Russian
"я хочу продолжить, я не устаю, не от этого, когда кто-то спрашивает тебя: ты уверен, и ты почти уверен, что можешь сказать, что для этого нет места?",Russian
"в Америке нет места для сомнений, если вы хотите отправить кому-нибудь sms или отправить сообщение, которое вы говорите, текст в текст, поэтому я отправлю вам сообщение, значит, я отправлю вам сообщение через WhatsApp, телеграмму или мессенджер, что бы я ни использовал текст вам еще раз, чтобы подбодрить кого-то, чтобы он не расстраивался, вы можете сказать, что это того не стоит, например, почему вы плачете?",Russian
оно того не стоит.,Russian
"ты намного лучше, чем проблема, о которой ты плачешь » не стоит твоих слез.",Russian
это того не стоит.,Russian
"Мне лично нравится фраза, которую ты качаешь, что означает, что ты потрясающий.",Russian
Боже ты мой.,Russian
ты качаешься рок?,Russian
"нет, ты проделал потрясающую работу.",Russian
"вы качаетесь, если кто-то работает не очень хорошо, и вы хотите, чтобы он работал усерднее, вы можете сказать, что вам нужно пройти лишнюю милю, что означает, что, как и в случае усердной работы, вы должны пройти лишнюю милю.",Russian
"другой способ сказать то же самое, что вы можете сказать: «Активизируйте свою игру», например, работайте усерднее, работайте лучше, улучшайте свою игру.",Russian
если кто-то плачет и не хочет этого.,Russian
"это тонет, ты говоришь, возьми себя в руки, как будто буквально возьми себя в руки и возьми себя в руки перестань работать, перестань плакать, соберись.",Russian
эй успокойся вместе еще одна фраза что.,Russian
"Мне нравится, что ты продал меня, потому что иногда люди описывают свою поездку или кого-то, кого они купили, и они описывают это так хорошо.",Russian
"и они такие, как будто я хочу купить то же самое, и я говорю им, что вы продали это вы продали мне, я бы не стал покупать это хорошо, вы продали меня, если вы не заинтересованы в разговоре.",Russian
"ты как сидишь, можешь сказать, что мне все равно, это так скучно.",Russian
Мне это не интересно.,Russian
"мне наплевать, если кто-то вас о чем-то спрашивает, и это действительно простое решение для вас, как будто кто-то говорит, что вы забираете мой 1 миллион долларов, а вы говорите, что это не проблема.",Russian
Я возьму это.,Russian
"Это простая задача означает, что это действительно простое решение для вас, если вы сделали что-то не так и признаете это, вы можете сказать, что я облажался, да, ребята.",Russian
Я знаю.,Russian
Мне жаль.,Russian
Я облажался.,Russian
это моя ошибка.,Russian
"я облажался, я облажался, если ты хочешь, чтобы кто-то работал вместо меня, ты можешь сказать.",Russian
"Ты можешь прикрыть меня, как ты можешь работать вместо меня, пока я?",Russian
я встречаюсь с моим другом.,Russian
"Можете ли вы меня прикрыть, пора уходить, ребята, мне лучше идти, а это значит, что мне уже пора.",Russian
это вы знаете.,Russian
на самом деле сейчас 1 9 вечера.,Russian
прямо сейчас.,Russian
Я лучше пойду другим способом попрощаться.,Russian
"я могу сказать береги себя, что означает заботиться о себе.",Russian
я увижу тебя позже.,Russian
Береги себя.,Russian
"Я не знаю, какой сегодня день, когда вы смотрите это видео, но если это пятница, например, выходные.",Russian
"вы можете сказать «спасибо небесам», это пятница, или подумать, что небеса сказали «открытие субботних выходных».",Russian
"Я так счастлив, что получилось, ребята, 50 фраз на английском, дайте мне знать, было ли это полезным, поставив лайк на это видео и комментируя ниже, если вы знаете еще какие-то интересные фразы.",Russian
"было бы здорово, там где-то есть красная кнопка.",Russian
Привет и добро пожаловать.,Russian
"в этом видео я дам вам 100 общих и очень полезных предложений, которые вы можете использовать в разговоре.",Russian
"когда вы слышите, как предложение повторяется после меня.",Russian
"попробуйте скопировать мое произношение в точности, включая тон голоса, который я использую.",Russian
"хорошо, начнем.",Russian
основные привет как дела?,Russian
как дела?,Russian
что происходит?,Russian
Приятно с Вами познакомиться.,Russian
давно не виделись.,Russian
как твои дела?,Russian
большое спасибо.,Russian
Как насчет тебя?,Russian
немного.,Russian
обычный.,Russian
я должен идти.,Russian
было приятно встретить вас позже.,Russian
оставайтесь на связи.,Russian
запрашивая информацию.,Russian
"не могли бы вы сказать мне, что означает это слово?",Russian
"вы случайно не знаете, где находится библиотека?",Russian
колеблясь.,Russian
Это хороший вопрос.,Russian
дайте-ка подумать.,Russian
позвольте мне немного подумать.,Russian
просят повторения.,Russian
прошу прощения?,Russian
"извините, я не уловил этого.",Russian
не могли бы вы повторить это?,Russian
"ты можешь говорить немного помедленнее, Пожалуйста?",Russian
"говоря ""я не знаю"".",Russian
"Боюсь, я понятия не имею.",Russian
"не могу вам помочь, извините.",Russian
бьет меня.,Russian
мнения.,Russian
Что ты об этом думаешь?,Russian
что ты думаешь по этому поводу?,Russian
"я думаю, это хорошая идея.",Russian
"честно говоря, я не думаю, что это сработает.",Russian
"Насколько я понимаю, это лучший ресторан в городе.",Russian
избегая вопроса.,Russian
у меня нет мнения по этому поводу.,Russian
позвольте мне вернуться к вам по этому поводу.,Russian
я не вправе сказать.,Russian
согласия и несогласия.,Russian
я не мог согласиться с этим.,Russian
ты совершенно прав.,Russian
я согласен с вами на 100%.,Russian
В точку.,Russian
"я не уверен, что согласен.",Russian
"Боюсь, я не согласен.",Russian
я думаю вы ошибаетесь.,Russian
вежливо перебил.,Russian
"извините, что прерываю вас.",Russian
могу я остановить тебя на минутку?,Russian
"ты не возражаешь, если я прыгну сюда?",Russian
преуспевать.,Russian
конечно продолжай.,Russian
Позвольте мне закончить.,Russian
подожди немного.,Russian
предложения.,Russian
что скажешь мы ходим в кино?,Russian
как насчет пиццы на ужин сегодня вечером?,Russian
это было бы прекрасно.,Russian
звучит неплохо.,Russian
я не уверен в этом.,Russian
"нет, я так не думаю.",Russian
составление планов.,Russian
что ты делаешь сегодня вечером?,Russian
есть планы на завтра?,Russian
ты свободен в следующую субботу?,Russian
ты хочешь чем-нибудь заняться в эти выходные?,Russian
"конечно, что ты имеешь в виду?",Russian
"Я свободен все выходные, давай займемся чем-нибудь.",Russian
"нет, извини, я уже помешал на некоторых планах.",Russian
Завтра я немного занят.,Russian
"Я бы хотел что-нибудь сделать, но не могу.",Russian
разрешение.,Russian
"вы не возражаете, если я воспользуюсь вашим мобильным телефоном?",Russian
"было бы хорошо, если бы я взял выходной завтра?",Russian
"да, пожалуйста, продолжайте.",Russian
"нет, совсем нет.",Russian
"к сожалению, я должен сказать нет.",Russian
"Я бы предпочел, чтобы ты этого не делал.",Russian
"боюсь, да.",Russian
делать запросы.,Russian
"не могли бы вы передать мне соль, Пожалуйста?",Russian
не могли бы вы одолжить мне немного денег?,Russian
"Мне было интересно, может ли ты мне с этим помочь.",Russian
"конечно, без проблем.",Russian
"Да, конечно.",Russian
буду рад помочь.,Russian
"извини, сейчас не могу.",Russian
"боюсь, не могу.",Russian
делать предложения.,Russian
могу я принести тебе стакан воды?,Russian
как насчет мороженого?,Russian
"Вы хотите, чтобы я подвез вас домой?",Russian
"Да, пожалуйста.",Russian
"это было бы здорово, спасибо.",Russian
"я в порядке, но спасибо за предложение.",Russian
"нет, у меня все хорошо, спасибо.",Russian
спасибо людям.,Russian
бесконечно благодарен.,Russian
"ура, я очень ценю это.",Russian
Очень мило с Вашей стороны.,Russian
Я не могу вас отблагодарить.,Russian
Ничего.,Russian
не упоминай об этом.,Russian
любое время.,Russian
с удовольствием.,Russian
просят кого-нибудь подождать.,Russian
"подождите, пожалуйста?",Russian
подождите одну секунду.,Russian
Потерпи со мной минутку.,Russian
я буду с тобой.,Russian
извиняюсь.,Russian
мне очень жаль.,Russian
"пожалуйста, примите мои извинения.",Russian
не беспокойтесь об этом.,Russian
без проблем.,Russian
"хорошо, если вы хотите больше уроков по общим предложениям и фразам, дайте мне знать в разделе комментариев ниже.",Russian
"Также, если вам понравилось это видео, поставьте ему отметку «Нравится», нажав кнопку «Нравится», и не забудьте подписаться на этот канал, нажав кнопку «Подписаться», чтобы получить мои последние уроки прямо здесь, на YouTube.",Russian
"Удачного обучения, скоро увидимся на другом уроке.",Russian
золотой хлеб Когда-то в маленькой деревушке жила женщина по имени Марион.,Russian
"Со своей единственной дочерью Нарциса Марион была чрезвычайно скромной и милой Нарцисой, однако была полной противоположностью, как вы видите, она была прекрасна выше слов, она была как живая.",Russian
"кукла, и что самое забавное, она любила себя бесконечно, Нарцисса, не так ли?",Russian
"Помоги мне испечь хлеб, да не мама, горничные, все мои яркие и блестящие глаза.",Russian
"Нарцисса, не могли бы вы помочь мне посадить эти семена, зачем мне это делать?",Russian
"У меня вся эта грязь на моих прекрасных пальчиках, хуже того, что, если она хорошо попадет на мое лицо, это была проблема с Нарцисой.",Russian
"она считала себя слишком великой, чтобы выполнять какую-либо работу, многие женихи приходили просить нарцисса руки и сердца.",Russian
"поскольку ее красота была известна повсюду, но она отвергла их всех очень грубо, почему ты вчера прогнала этих мужчин, они казались милыми, ты не можешь быть серьезной мамой, одна из них.",Russian
"у него были такие маленькие глаза, почти как у птицы, а у другого был огромный нос, я бы не хотел быть рядом с ним.",Russian
"когда он чихнул, о, о, и последняя остановка, нет, я не хочу больше слышать, все, что я мог видеть, это то, что эти люди были действительно хорошими, моя дорогая, ты должна знать эту красоту.",Russian
"Не все, мама, ты должна понять, что я заслуживаю кого-то вроде принца или рыцаря.",Russian
"о, дорогая, однажды ночью, когда она спала, ее мать сидела рядом с ней и смотрела на нее.",Russian
"мое дорогое дитя, ты такая красивая и милая, но тебя не волнует ничего, кроме своей красоты.",Russian
"в этот момент Нарцисс начал смеяться во сне, ее мать была чрезвычайно удивлена, как хорошо ей, должно быть, снится действительно забавный сон на следующее утро, когда Нарцисс.",Russian
"Я проснулся, она вся улыбалась и хихикала, дорогая, расскажи мне, что тебе снилось.",Russian
"прошлой ночью, мама, это был такой потрясающий сон, ты знаешь, что ко мне подошел принц.",Russian
"и сказал, что хочет жениться на мне, он приехал в золотой карете, и он был одет сверху донизу и тоже золотом, что за глупый сон.",Russian
"и ты знаешь, лучшая часть этого была, когда я была в моем свадебном платье, которое тоже было золотым, конечно, все смотрели только на меня, Нарцисса, нет ничего удивительного в этом сне.",Russian
"Это был очень эгоистичный сон, мама, ты не понимаешь, о чем говоришь, этот сон заставил меня осознать, что мне нужна еда гораздо более грандиозная, чем та, которую я ем здесь, дома, хлеб из золота.",Russian
"только подумайте о той бедной матери-нарциссе, которая так волновалась за свою дочь и как.",Russian
"она проживет свою жизнь в тот день, когда двое друзей пришли навестить мать Нарцисса, они были Мелли и Терри, они трое были друзьями много лет, но у Терри и Элли был секрет их обоих.",Russian
"были волшебными существами, о которых мать Нарцисса ничего не знала о Терри Мелли, о, как приятно тебя видеть, это было очень давно как дела?",Russian
"я был очень хорош, я был бы лучше, если бы только что, если бы моя дочь Нарциса была немного более понимающей Мариан рассказала Мелли и Терри все о Нарцисе и о том, как она переживает за нее, она хочет есть хлеб из золота что мне с ней делать ну может, если ее мечта сбудется.",Russian
"это было бы замечательно, не так ли?",Russian
"Неважно, я думаю, со временем она вырастет, чтобы научиться, давай поговорим о другом.",Russian
"теперь, позже Мелли и Терри помахали на прощание своему старому другу и ушли, тайно улыбаясь друг другу в ту ночь, мать и дочь.",Russian
"приготовилась ко сну, мама, я действительно надеюсь, что моя мечта сбудется, ты знаешь, о Нарцисса, на следующий день, когда Нарциса и ее мать были в саду в красивом месте.",Russian
"К ним подъехала золотая карета, она была усыпана драгоценными камнями и бриллиантами и выглядела чрезвычайно потрясающе.",Russian
"когда она остановилась, красивый мужчина вышел из нее и посмотрел на Нарцису, она была полностью поражена тем, насколько он красив, моя мечта на самом деле сбывается ммм.",Russian
"Привет, я пришел попросить нарцисса руки и сердца, но откуда ты знаешь ее имя и кто ты?",Russian
"Я Терренс, ангел удачи.",Russian
Имя твоей дочери и красота известны во всем мире.,Russian
Я принес тебе подарок.,Russian
"Но ты почти не знаешь его, ты не можешь пойти с ним.",Russian
"о, глупый, он богат и красив, чего еще мне еще нужно, Терренс, я принимаю ваше предложение.",Russian
"И с этими словами она села в его карету, и, даже не попрощавшись с матерью, уехала с ангелом, пока они ехали, карета внезапно вошла в волшебный портал, где она путешествовала по бурной местности, карета сильно ударилась и нарцисса.",Russian
"был очень напуган, не волнуйся, моя дорогая, все это скоро закончится, как только он сказал это, карета прошла через другой портал и достигла подъездной дорожки.",Russian
"огромного и великолепного золотого замка Нарциса была поражена всей красотой, которую она увидела, я знал, что заслуживаю столько богатств, я знал, что вам это понравится, все, что вы хотите, вы найдете здесь, от самых красивых платьев до самых вкусных блюд все это в моем дворце, хорошо говоря о еде, я действительно голоден после этой поездки.",Russian
"я голодаю, могу ли я съесть что-нибудь из этой вкусной еды, конечно, здесь мясо вонючая мелисса, она принесет тебе все, что ты хочешь, я так много слышал о тебе ты, бедный, дорогой, ты голоден Я принесу тебе немного еды, о, спасибо, они пошли в столовую, и там на столе была самая поразительная еда, которую Нарциса когда-либо видела удивительной, потому что это варенье.",Russian
"из рубинов салаты из изумрудов и хлеб там сделан из золотого золотого хлеба, как прекрасно это варенье будет выглядеть и вкусно с хлебом, который она взяла с собой.",Russian
"рубиновое варенье на нем и откусил огромный кусок, это так жарко, я не могу так хорошо есть, это хлеб из золота, и он тоже самый лучший, но если ты не можешь его съесть, должен я тебе достать серебряный хлеб ты ешь.",Russian
"что-то еще, но я хочу нормальный хлеб, который я могу съесть, разве ты не выглядишь так будущая жена моего отца, ракушка, холодно, ты должен есть только лучший нарцис.",Russian
Я смотрел на всю еду.,Russian
"но была убита горем из-за всего, что было несъедобным, она вскоре начала плакать, я не хочу этого, но еда действительно хорошая.",Russian
"вот попробуйте золотого картофеля, он действительно хорош, и после того, как вы выйдете за меня замуж.",Russian
